event_day,event_hour,topics,city,country
2017-03-21,19:45,Lean Startup,Barcelona,es
2017-03-21,19:45,Entrepreneur Networking,Barcelona,es
2017-03-21,19:45,Entrepreneurship,Barcelona,es
2017-03-21,19:45,Business Model Canvas,Barcelona,es
2017-03-21,19:45,Customer Development,Barcelona,es
2017-03-21,19:45,Startup Metrics,Barcelona,es
2017-03-30,01:30,Hiking,Dayton,us
2017-03-30,01:30,Outdoors,Dayton,us
2017-03-30,01:30,Adventure,Dayton,us
2017-03-30,01:30,Social,Dayton,us
2017-03-30,01:30,Backpacking,Dayton,us
2017-03-30,01:30,Bicycling,Dayton,us
2017-03-30,01:30,Walking,Dayton,us
